location,date_local,dow,hours_offered,hours_sold,utilisation
Brooklyn Heights,2022-06-17,Friday,3,0,0.0
Brooklyn Heights,2022-06-18,Saturday,6,0,0.0
Brooklyn Heights,2022-06-19,Sunday,6,0,0.0
Brooklyn Heights,2022-06-20,Monday,6,0,0.0
Brooklyn Heights,2022-06-24,Friday,6,0,0.0
Brooklyn Heights,2022-06-25,Saturday,6,0,0.0
Brooklyn Heights,2022-06-26,Sunday,6,0,0.0
Brooklyn Heights,2022-09-06,Tuesday,90,17,0.18888888888888888
Brooklyn Heights,2022-09-07,Wednesday,78,16,0.20512820512820512
Brooklyn Heights,2022-09-08,Thursday,90,21,0.23333333333333334
Brooklyn Heights,2022-09-09,Friday,90,17,0.18888888888888888
Brooklyn Heights,2022-09-10,Saturday,60,15,0.25
Brooklyn Heights,2022-09-11,Sunday,56,14,0.25
Brooklyn Heights,2022-09-12,Monday,72,9,0.125
Brooklyn Heights,2022-09-13,Tuesday,68,15,0.22058823529411764
Brooklyn Heights,2022-09-14,Wednesday,68,17,0.25
Brooklyn Heights,2022-09-15,Thursday,68,12,0.17647058823529413
Brooklyn Heights,2022-09-16,Friday,68,19,0.27941176470588236
Brooklyn Heights,2022-09-17,Saturday,60,17,0.2833333333333333
Brooklyn Heights,2022-09-18,Sunday,56,14,0.25
Brooklyn Heights,2022-09-19,Monday,68,13,0.19117647058823528
Brooklyn Heights,2022-09-20,Tuesday,68,19,0.27941176470588236
Brooklyn Heights,2022-09-21,Wednesday,72,16,0.2222222222222222
Brooklyn Heights,2022-09-22,Thursday,72,26,0.3611111111111111
Brooklyn Heights,2022-09-23,Friday,72,18,0.25
Brooklyn Heights,2022-09-24,Saturday,60,17,0.2833333333333333
Brooklyn Heights,2022-09-25,Sunday,56,15,0.26785714285714285
Brooklyn Heights,2022-09-26,Monday,72,14,0.19444444444444445
Brooklyn Heights,2022-09-27,Tuesday,72,23,0.3194444444444444
Brooklyn Heights,2022-09-28,Wednesday,84,30,0.35714285714285715
Brooklyn Heights,2022-09-29,Thursday,84,17,0.20238095238095238
Brooklyn Heights,2022-09-30,Friday,84,24,0.2857142857142857
Brooklyn Heights,2022-10-01,Saturday,60,17,0.2833333333333333
Brooklyn Heights,2022-10-02,Sunday,56,20,0.35714285714285715
Brooklyn Heights,2022-10-03,Monday,84,16,0.19047619047619047
Brooklyn Heights,2022-10-04,Tuesday,84,27,0.32142857142857145
Brooklyn Heights,2022-10-05,Wednesday,84,26,0.30952380952380953
Brooklyn Heights,2022-10-06,Thursday,84,20,0.23809523809523808
Brooklyn Heights,2022-10-07,Friday,84,23,0.27380952380952384
Brooklyn Heights,2022-10-08,Saturday,60,19,0.31666666666666665
Brooklyn Heights,2022-10-09,Sunday,56,11,0.19642857142857142
Brooklyn Heights,2022-10-10,Monday,84,23,0.27380952380952384
Brooklyn Heights,2022-10-11,Tuesday,84,20,0.23809523809523808
Brooklyn Heights,2022-10-12,Wednesday,84,21,0.25
Brooklyn Heights,2022-10-13,Thursday,84,18,0.21428571428571427
Brooklyn Heights,2022-10-14,Friday,84,20,0.23809523809523808
Brooklyn Heights,2022-10-15,Saturday,60,19,0.31666666666666665
Brooklyn Heights,2022-10-16,Sunday,56,14,0.25
Brooklyn Heights,2022-10-17,Monday,84,21,0.25
Brooklyn Heights,2022-10-18,Tuesday,84,27,0.32142857142857145
Brooklyn Heights,2022-10-19,Wednesday,84,21,0.25
Brooklyn Heights,2022-10-20,Thursday,84,22,0.2619047619047619
Brooklyn Heights,2022-10-21,Friday,84,24,0.2857142857142857
Brooklyn Heights,2022-10-22,Saturday,60,16,0.26666666666666666
Brooklyn Heights,2022-10-23,Sunday,56,18,0.32142857142857145
Brooklyn Heights,2022-10-24,Monday,84,20,0.23809523809523808
Brooklyn Heights,2022-10-25,Tuesday,84,22,0.2619047619047619
Brooklyn Heights,2022-10-26,Wednesday,84,20,0.23809523809523808
Brooklyn Heights,2022-10-27,Thursday,84,24,0.2857142857142857
Brooklyn Heights,2022-10-28,Friday,84,28,0.3333333333333333
Brooklyn Heights,2022-10-29,Saturday,60,20,0.3333333333333333
Brooklyn Heights,2022-10-30,Sunday,56,18,0.32142857142857145
Brooklyn Heights,2022-10-31,Monday,84,19,0.2261904761904762
Brooklyn Heights,2022-11-01,Tuesday,84,26,0.30952380952380953
Brooklyn Heights,2022-11-02,Wednesday,84,20,0.23809523809523808
Brooklyn Heights,2022-11-03,Thursday,84,21,0.25
Brooklyn Heights,2022-11-04,Friday,84,23,0.27380952380952384
Brooklyn Heights,2022-11-05,Saturday,60,19,0.31666666666666665
Brooklyn Heights,2022-11-06,Sunday,56,17,0.30357142857142855
Brooklyn Heights,2022-11-07,Monday,84,15,0.17857142857142858
Brooklyn Heights,2022-11-08,Tuesday,84,21,0.25
Brooklyn Heights,2022-11-09,Wednesday,84,24,0.2857142857142857
Brooklyn Heights,2022-11-10,Thursday,84,24,0.2857142857142857
Brooklyn Heights,2022-11-11,Friday,90,35,0.3888888888888889
Brooklyn Heights,2022-11-12,Saturday,60,17,0.2833333333333333
Brooklyn Heights,2022-11-13,Sunday,56,20,0.35714285714285715
Brooklyn Heights,2022-11-14,Monday,84,19,0.2261904761904762
Brooklyn Heights,2022-11-15,Tuesday,84,21,0.25
Brooklyn Heights,2022-11-16,Wednesday,84,22,0.2619047619047619
Brooklyn Heights,2022-11-17,Thursday,84,22,0.2619047619047619
Brooklyn Heights,2022-11-18,Friday,86,29,0.3372093023255814
Brooklyn Heights,2022-11-19,Saturday,60,18,0.3
Brooklyn Heights,2022-11-20,Sunday,56,20,0.35714285714285715
Brooklyn Heights,2022-11-21,Monday,84,17,0.20238095238095238
Brooklyn Heights,2022-11-22,Tuesday,84,19,0.2261904761904762
Brooklyn Heights,2022-11-23,Wednesday,86,23,0.26744186046511625
Brooklyn Heights,2022-11-24,Thursday,2,0,0.0
Brooklyn Heights,2022-11-25,Friday,60,10,0.16666666666666666
Brooklyn Heights,2022-11-26,Saturday,60,8,0.13333333333333333
Brooklyn Heights,2022-11-27,Sunday,56,16,0.2857142857142857
Brooklyn Heights,2022-11-28,Monday,84,12,0.14285714285714285
Brooklyn Heights,2022-11-29,Tuesday,84,22,0.2619047619047619
Brooklyn Heights,2022-11-30,Wednesday,84,18,0.21428571428571427
Brooklyn Heights,2022-12-01,Thursday,84,20,0.23809523809523808
Brooklyn Heights,2022-12-02,Friday,88,29,0.32954545454545453
Brooklyn Heights,2022-12-03,Saturday,60,19,0.31666666666666665
Brooklyn Heights,2022-12-04,Sunday,56,19,0.3392857142857143
Brooklyn Heights,2022-12-05,Monday,84,19,0.2261904761904762
Brooklyn Heights,2022-12-06,Tuesday,84,21,0.25
Brooklyn Heights,2022-12-07,Wednesday,84,25,0.2976190476190476
Brooklyn Heights,2022-12-08,Thursday,84,24,0.2857142857142857
Brooklyn Heights,2022-12-09,Friday,84,24,0.2857142857142857
Brooklyn Heights,2022-12-10,Saturday,60,19,0.31666666666666665
Brooklyn Heights,2022-12-11,Sunday,56,17,0.30357142857142855
Brooklyn Heights,2022-12-12,Monday,84,22,0.2619047619047619
Brooklyn Heights,2022-12-13,Tuesday,84,22,0.2619047619047619
Brooklyn Heights,2022-12-14,Wednesday,84,25,0.2976190476190476
Brooklyn Heights,2022-12-15,Thursday,84,24,0.2857142857142857
Brooklyn Heights,2022-12-16,Friday,84,25,0.2976190476190476
Brooklyn Heights,2022-12-17,Saturday,60,18,0.3
Brooklyn Heights,2022-12-18,Sunday,20,19,0.95
Brooklyn Heights,2022-12-19,Monday,30,21,0.7
Brooklyn Heights,2022-12-20,Tuesday,30,26,0.8666666666666667
Brooklyn Heights,2022-12-21,Wednesday,30,24,0.8
Brooklyn Heights,2022-12-22,Thursday,30,22,0.7333333333333333
Brooklyn Heights,2022-12-23,Friday,2,0,0.0
Brooklyn Heights,2022-12-24,Saturday,2,0,0.0
Brooklyn Heights,2022-12-25,Sunday,2,0,0.0
Brooklyn Heights,2022-12-26,Monday,20,13,0.65
Brooklyn Heights,2022-12-27,Tuesday,22,8,0.36363636363636365
Brooklyn Heights,2022-12-28,Wednesday,20,16,0.8
Brooklyn Heights,2022-12-29,Thursday,20,16,0.8
Brooklyn Heights,2022-12-30,Friday,20,16,0.8
Brooklyn Heights,2022-12-31,Saturday,12,11,0.9166666666666666
Brooklyn Heights,2023-01-02,Monday,42,27,0.6428571428571429
Brooklyn Heights,2023-01-03,Tuesday,42,34,0.8095238095238095
Brooklyn Heights,2023-01-04,Wednesday,42,33,0.7857142857142857
Brooklyn Heights,2023-01-05,Thursday,42,23,0.5476190476190477
Brooklyn Heights,2023-01-06,Friday,30,27,0.9
Brooklyn Heights,2023-01-07,Saturday,20,19,0.95
Brooklyn Heights,2023-01-08,Sunday,20,20,1.0
Brooklyn Heights,2023-01-09,Monday,42,29,0.6904761904761905
Brooklyn Heights,2023-01-10,Tuesday,42,22,0.5238095238095238
Brooklyn Heights,2023-01-11,Wednesday,42,23,0.5476190476190477
Brooklyn Heights,2023-01-12,Thursday,42,19,0.4523809523809524
Brooklyn Heights,2023-01-13,Friday,30,29,0.9666666666666667
Brooklyn Heights,2023-01-14,Saturday,20,20,1.0
Brooklyn Heights,2023-01-15,Sunday,20,18,0.9
Brooklyn Heights,2023-01-16,Monday,42,33,0.7857142857142857
Brooklyn Heights,2023-01-17,Tuesday,45,29,0.6444444444444445
Brooklyn Heights,2023-01-18,Wednesday,45,30,0.6666666666666666
Brooklyn Heights,2023-01-19,Thursday,45,29,0.6444444444444445
Brooklyn Heights,2023-01-20,Friday,32,30,0.9375
Brooklyn Heights,2023-01-21,Saturday,24,23,0.9583333333333334
Brooklyn Heights,2023-01-22,Sunday,24,20,0.8333333333333334
Brooklyn Heights,2023-01-23,Monday,44,39,0.8863636363636364
Brooklyn Heights,2023-01-24,Tuesday,45,34,0.7555555555555555
Brooklyn Heights,2023-01-25,Wednesday,45,30,0.6666666666666666
Brooklyn Heights,2023-01-26,Thursday,45,33,0.7333333333333333
Brooklyn Heights,2023-01-27,Friday,32,30,0.9375
Brooklyn Heights,2023-01-28,Saturday,24,20,0.8333333333333334
Brooklyn Heights,2023-01-29,Sunday,24,20,0.8333333333333334
Brooklyn Heights,2023-01-30,Monday,44,38,0.8636363636363636
Brooklyn Heights,2023-01-31,Tuesday,47,40,0.851063829787234
Brooklyn Heights,2023-02-01,Wednesday,45,38,0.8444444444444444
Brooklyn Heights,2023-02-02,Thursday,45,26,0.5777777777777777
Brooklyn Heights,2023-02-03,Friday,32,31,0.96875
Brooklyn Heights,2023-02-04,Saturday,26,25,0.9615384615384616
Brooklyn Heights,2023-02-05,Sunday,24,24,1.0
Brooklyn Heights,2023-02-06,Monday,44,33,0.75
Brooklyn Heights,2023-02-07,Tuesday,45,26,0.5777777777777777
Brooklyn Heights,2023-02-08,Wednesday,45,35,0.7777777777777778
Brooklyn Heights,2023-02-09,Thursday,45,37,0.8222222222222222
Brooklyn Heights,2023-02-10,Friday,32,28,0.875
Brooklyn Heights,2023-02-11,Saturday,26,22,0.8461538461538461
Brooklyn Heights,2023-02-12,Sunday,24,21,0.875
Brooklyn Heights,2023-02-13,Monday,44,28,0.6363636363636364
Brooklyn Heights,2023-02-14,Tuesday,45,21,0.4666666666666667
Brooklyn Heights,2023-02-15,Wednesday,45,23,0.5111111111111111
Brooklyn Heights,2023-02-16,Thursday,45,25,0.5555555555555556
Brooklyn Heights,2023-02-17,Friday,32,26,0.8125
Brooklyn Heights,2023-02-18,Saturday,26,21,0.8076923076923077
Brooklyn Heights,2023-02-19,Sunday,24,19,0.7916666666666666
Brooklyn Heights,2023-02-20,Monday,44,28,0.6363636363636364
Brooklyn Heights,2023-02-21,Tuesday,45,30,0.6666666666666666
Brooklyn Heights,2023-02-22,Wednesday,45,31,0.6888888888888889
Brooklyn Heights,2023-02-23,Thursday,45,35,0.7777777777777778
Brooklyn Heights,2023-02-24,Friday,32,32,1.0
Brooklyn Heights,2023-02-25,Saturday,24,22,0.9166666666666666
Brooklyn Heights,2023-02-26,Sunday,24,22,0.9166666666666666
Brooklyn Heights,2023-02-27,Monday,44,35,0.7954545454545454
Brooklyn Heights,2023-02-28,Tuesday,45,31,0.6888888888888889
Brooklyn Heights,2023-03-01,Wednesday,45,28,0.6222222222222222
Brooklyn Heights,2023-03-02,Thursday,44,34,0.7727272727272727
Brooklyn Heights,2023-03-03,Friday,32,31,0.96875
Brooklyn Heights,2023-03-04,Saturday,26,26,1.0
Brooklyn Heights,2023-03-05,Sunday,24,23,0.9583333333333334
Brooklyn Heights,2023-03-06,Monday,44,30,0.6818181818181818
Brooklyn Heights,2023-03-07,Tuesday,45,34,0.7555555555555555
Brooklyn Heights,2023-03-08,Wednesday,45,31,0.6888888888888889
Brooklyn Heights,2023-03-09,Thursday,44,26,0.5909090909090909
Brooklyn Heights,2023-03-10,Friday,32,30,0.9375
Brooklyn Heights,2023-03-11,Saturday,24,17,0.7083333333333334
Brooklyn Heights,2023-03-12,Sunday,24,21,0.875
Brooklyn Heights,2023-03-13,Monday,44,35,0.7954545454545454
Brooklyn Heights,2023-03-14,Tuesday,45,32,0.7111111111111111
Brooklyn Heights,2023-03-15,Wednesday,45,30,0.6666666666666666
Brooklyn Heights,2023-03-16,Thursday,44,35,0.7954545454545454
Brooklyn Heights,2023-03-17,Friday,32,30,0.9375
Brooklyn Heights,2023-03-18,Saturday,23,21,0.9130434782608695
Brooklyn Heights,2023-03-19,Sunday,24,21,0.875
Brooklyn Heights,2023-03-20,Monday,44,25,0.5681818181818182
Brooklyn Heights,2023-03-21,Tuesday,45,26,0.5777777777777777
Brooklyn Heights,2023-03-22,Wednesday,45,23,0.5111111111111111
Brooklyn Heights,2023-03-23,Thursday,44,26,0.5909090909090909
Brooklyn Heights,2023-03-24,Friday,32,30,0.9375
Brooklyn Heights,2023-03-25,Saturday,26,23,0.8846153846153846
Brooklyn Heights,2023-03-26,Sunday,24,20,0.8333333333333334
Brooklyn Heights,2023-03-27,Monday,44,33,0.75
Brooklyn Heights,2023-03-28,Tuesday,45,27,0.6
Brooklyn Heights,2023-03-29,Wednesday,45,25,0.5555555555555556
Brooklyn Heights,2023-03-30,Thursday,44,22,0.5
Brooklyn Heights,2023-03-31,Friday,32,29,0.90625
Brooklyn Heights,2023-04-01,Saturday,26,18,0.6923076923076923
Brooklyn Heights,2023-04-02,Sunday,24,24,1.0
Brooklyn Heights,2023-04-03,Monday,44,28,0.6363636363636364
Brooklyn Heights,2023-04-04,Tuesday,39,26,0.6666666666666666
Brooklyn Heights,2023-04-05,Wednesday,45,30,0.6666666666666666
Brooklyn Heights,2023-04-06,Thursday,44,26,0.5909090909090909
Brooklyn Heights,2023-04-07,Friday,32,29,0.90625
Brooklyn Heights,2023-04-08,Saturday,26,25,0.9615384615384616
Brooklyn Heights,2023-04-09,Sunday,24,21,0.875
Brooklyn Heights,2023-04-10,Monday,44,36,0.8181818181818182
Brooklyn Heights,2023-04-11,Tuesday,39,31,0.7948717948717948
Brooklyn Heights,2023-04-12,Wednesday,39,35,0.8974358974358975
Brooklyn Heights,2023-04-13,Thursday,44,24,0.5454545454545454
Brooklyn Heights,2023-04-14,Friday,32,27,0.84375
Brooklyn Heights,2023-04-15,Saturday,26,19,0.7307692307692307
Brooklyn Heights,2023-04-16,Sunday,24,23,0.9583333333333334
Brooklyn Heights,2023-04-17,Monday,44,26,0.5909090909090909
Brooklyn Heights,2023-04-18,Tuesday,39,27,0.6923076923076923
Brooklyn Heights,2023-04-19,Wednesday,39,31,0.7948717948717948
Brooklyn Heights,2023-04-20,Thursday,44,23,0.5227272727272727
Brooklyn Heights,2023-04-21,Friday,32,29,0.90625
Brooklyn Heights,2023-04-22,Saturday,26,23,0.8846153846153846
Brooklyn Heights,2023-04-23,Sunday,24,19,0.7916666666666666
Brooklyn Heights,2023-04-24,Monday,44,38,0.8636363636363636
Brooklyn Heights,2023-04-25,Tuesday,39,30,0.7692307692307693
Brooklyn Heights,2023-04-26,Wednesday,39,25,0.6410256410256411
Brooklyn Heights,2023-04-27,Thursday,44,35,0.7954545454545454
Brooklyn Heights,2023-04-28,Friday,32,31,0.96875
Brooklyn Heights,2023-04-29,Saturday,26,26,1.0
Brooklyn Heights,2023-04-30,Sunday,24,23,0.9583333333333334
Brooklyn Heights,2023-05-01,Monday,42,36,0.8571428571428571
Brooklyn Heights,2023-05-02,Tuesday,37,28,0.7567567567567568
Brooklyn Heights,2023-05-03,Wednesday,38,32,0.8421052631578947
Brooklyn Heights,2023-05-04,Thursday,42,27,0.6428571428571429
