location,dow,avg_utilisation
Brooklyn Heights,Monday,0.5679110752962191
Brooklyn Heights,Tuesday,0.5432372913727089
Brooklyn Heights,Wednesday,0.5674022720031553
Brooklyn Heights,Thursday,0.5587863858435874
Brooklyn Heights,Friday,0.6787692038327209
Brooklyn Heights,Saturday,0.6811530696026066
Brooklyn Heights,Sunday,0.717748522766771
Mima - 42nd St,Monday,0.34970337189614925
Mima - 42nd St,Tuesday,0.29371303788419295
Mima - 42nd St,Wednesday,0.32322639046776974
Mima - 42nd St,Thursday,0.3100578427657535
Mima - 42nd St,Friday,0.2820980870980871
Mima - 42nd St,Saturday,0.29208543958766975
Mima - 42nd St,Sunday,0.3545123401724651
Tribeca,Monday,0.30998234799479224
Tribeca,Tuesday,0.3182167951142642
Tribeca,Wednesday,0.3076647707563099
Tribeca,Thursday,0.2992864728402093
Tribeca,Friday,0.3381226053639847
Tribeca,Saturday,0.4731673407482306
Tribeca,Sunday,0.5076818885448916
